Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
1.801800584793090820e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.383099999999999952e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.901904201507568359e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.379899999999999949e+01,2.350900000000000034e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.002007389068603516e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.379899999999999949e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.102110505104064941e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.383099999999999952e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.202213597297668457e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.379899999999999949e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.302316308021545410e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.379899999999999949e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.402331304550170898e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.379899999999999949e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.502434086799621582e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.379899999999999949e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.602536797523498535e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.379899999999999949e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.702639412879943848e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.379899999999999949e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.802725100517272949e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.383099999999999952e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.902827310562133789e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.383099999999999952e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.002930402755737305e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.386299999999999955e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.103032708168029785e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.379899999999999949e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.203135299682617188e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.383099999999999952e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.303240013122558594e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.383099999999999952e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.403343200683593750e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.392800000000000082e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.503445601463317871e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.379899999999999949e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.603450298309326172e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.379899999999999949e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.703552985191345215e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.379899999999999949e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.803623700141906738e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.389600000000000080e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.903669595718383789e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.386299999999999955e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.003714609146118164e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.386299999999999955e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.103760194778442383e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.386299999999999955e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.203852009773254395e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.386299999999999955e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.303940486907958984e+01,8.000000000000000000e+01,0.000000000000000000e+00,2.386299999999999955e+01,2.347700000000000031e+01,2.300000000000000000e+01,2.300000000000000000e+01
